id3 tags from site:https://docs.mp3tag.de/

MUSICBRAINZ_RELEASEGROUPID, 
Internal,	   MUSICBRAINZ_RELEASEGROUPID,
ID3v2.3,	   TXXX:MusicBrainz Release Group Id,
ID3v2.4,	   TXXX:MusicBrainz Release Group Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Release Group Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_RELEASETRACKID, "",
Internal,	   MUSICBRAINZ_RELEASETRACKID,
ID3v2.3,	   TXXX:MusicBrainz Release Track Id,
ID3v2.4,	   TXXX:MusicBrainz Release Track Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Release Track Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_TRACKID, "", 
Internal,	   MUSICBRAINZ_TRACKID,
ID3v2.3,	   UFID:http://musicbrainz.org,
ID3v2.4,	   UFID:http://musicbrainz.org,
MP4,	           ----:com.apple.iTunes:MusicBrainz Track Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICBRAINZ_TRMID, "", 
Internal,	   MUSICBRAINZ_TRMID,
ID3v2.3,	   TXXX:MusicBrainz TRM Id,
ID3v2.4,	   TXXX:MusicBrainz TRM Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz TRM Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,	   "",
MUSICBRAINZ_WORKID, "", 
Internal,	   MUSICBRAINZ_WORKID,
ID3v2.3,	   TXXX:MusicBrainz Work Id,
ID3v2.4 	   TXXX:MusicBrainz Work Id,
MP4,	           ----:com.apple.iTunes:MusicBrainz Work Id,
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
MUSICIANCREDITS, 
Internal,	   MUSICIANCREDITS,
ID3v2.3,           "",	
ID3v2.4, 	   TMCL,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           Role1:Person1;Role2:Person2; … e.g., Drums:Jamie Graham;,
NARRATOR,          "", 
Internal,	   NARRATOR,
ID3v2.3,           "",	
ID3v2.4,           "",	
MP4,	           ©nrt,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
NETRADIOOWNER,     "", 
Internal,	   NETRADIOOWNER,
ID3v2.3,	   TRSO,
ID3v2.4,	   TRSO,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
NETRADIOSTATION,   "", 
Internal,	   NETRADIOSTATION,
ID3v2.3,	   TRSN,
ID3v2.4,	   TRSN,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
ORIGALBUM,         "", 
